Author,Genus,N_ASD,ASD_Mean,ASD_SD,N_TD,TD_Mean,TD_SD
Coretti,02d06,42,0.011666667,0.044113962,41,0.007666667,0.017198506
Coretti,1-68,42,0.001,0.003,41,0,0
Coretti,Acidaminococcus,42,0.027,0.08,41,0.001,0.004
Coretti,Acinetobacter,42,0.0002,0.001346419,41,0.0012,0.006508102
Coretti,Actinobacillus,42,0.003,0.00862047,41,0.000333333,0.002302349
Coretti,Actinobaculum,42,0,0,41,0,0
Coretti,Actinomyces,42,0.000227273,0.00117812,41,0.003,0.018448008
Coretti,Adlercreutzia,42,0.005,0.02333988,41,0.013,0.025917317
Coretti,Aerococcus,42,0,0,41,0,0
Coretti,Aggregatibacter,42,0.005428571,0.023866641,41,0.000571429,0.002771356
Coretti,Agrobacterium,42,0,0,41,0.001,0.0046144
Coretti,Akkermansia,42,0.03125,0.142779007,41,0.165125,1.087571094
Coretti,Alloiococcus,42,0,0,41,0,0
Coretti,Anaerococcus,42,0.00025,0.001511583,41,0.0005,0.002796101
Coretti,Anaerofustis,42,0.001,0.003,41,0.003,0.004
Coretti,Anaeroplasma,42,0,0,41,0,0
Coretti,Anaerostipes,42,0.045428571,0.266982477,41,0.011428571,0.047439489
Coretti,Anaerotruncus,42,0.0145,0.047945948,41,0.0015,0.004437444
Coretti,Atopobium,42,0.001,0.004337338,41,0.002,0.008918329
Coretti,Bacillus,42,0,0,41,0.0005,0.002821872
Coretti,Bacteroides,42,0.046517241,0.365458915,41,0.003267241,0.033630829
Coretti,Bifidobacterium,42,0.654222222,2.788488776,41,2.254777778,7.298093408
Coretti,Bilophila,42,0.028666667,0.104327809,41,0.002333333,0.00583374
Coretti,Blautia,42,0.006204403,0.046874124,41,0.013886792,0.09773509
Coretti,Brachybacterium,42,0,0,41,0,0
Coretti,Brevibacterium,42,0,0,41,0.0005,0.002821872
Coretti,Bulleidia,42,0.002,0.007,41,0.005,0.007
Coretti,Burkholderia,42,0,0,41,0,0
Coretti,Butyricimonas,42,0.024,0.099401543,41,0.0006,0.003591052
Coretti,Campylobacter,42,0,0,41,0,0
Coretti,Cardiobacterium,42,0,0,41,0.0005,0.002821872
Coretti,Catenibacterium,42,0,0,41,0.067,0.352043137
Coretti,Cellulomonas,42,0,0,41,0,0
Coretti,Christensenella,42,0.002,0.007,41,0.003,0.007
Coretti,Citrobacter,42,0.00075,0.004998256,41,0.00175,0.006796389
Coretti,Cloacibacterium,42,0,0,41,0,0
Coretti,Clostridium,42,0.019711111,0.183281247,41,0.013377778,0.090617429
Coretti,Collinsella,42,0.018066667,0.11554949,41,0.3918,3.357149178
Coretti,Comamonas,42,0,0,41,0.003,0.010820077
Coretti,Coprobacillus,42,0.00425,0.010072124,41,0.00775,0.02183804
Coretti,Coprococcus,42,0.007223684,0.058804875,41,0.008986842,0.072639004
Coretti,Corynebacterium,42,0.000181818,0.001284523,41,0.002,0.009687941
Coretti,Dehalobacterium,42,0,0,41,0,0
Coretti,Delftia,42,0,0,41,0,0
Coretti,Desulfovibrio,42,0,0,41,0.001,0.003925227
Coretti,Dialister,42,0.033740741,0.290307043,41,0.029777778,0.448147156
Coretti,Dorea,42,0.006673913,0.04787106,41,0.00948913,0.097814307
Coretti,Dysgonomonas,42,0.002,0.007,41,0,0
Coretti,Eggerthella,42,0.0205,0.060974833,41,0.1025,0.271978843
Coretti,Eikenella,42,0,0,41,0,0
Coretti,Elizabethkingia,42,0,0,41,0,0
Coretti,Enhydrobacter,42,0.001,0,41,0,0
Coretti,Enterobacter,42,0.003,0.01,41,0,0
Coretti,Enterococcus,42,0.000636364,0.004110961,41,0.002545455,0.014479235
Coretti,Epulopiscium,42,0.0004,0.003118642,41,0.0008,0.002646299
Coretti,Erwinia,42,0.001,0.003,41,0,0
Coretti,Faecalibacterium,42,0.029836538,0.170155676,41,0.006461538,0.042251414
Coretti,Finegoldia,42,0.002,0.003,41,0.002,0.004
Coretti,Frigoribacterium,42,0,0,41,0,0
Coretti,Fructobacillus,42,0,0,41,0.002,0.004
Coretti,Fusobacterium,42,0,0,41,0.0004,0.003143431
Coretti,Gemella,42,0,0,41,0.000666667,0.002446168
Coretti,Geobacillus,42,0,0,41,0.001,0.004
Coretti,Geobacter,42,0,0,41,0.001,0.004
Coretti,Granulicatella,42,0.0038,0.012329429,41,0.0068,0.020236715
Coretti,Haemophilus,42,0.045043478,0.320039026,41,0.007869565,0.046292498
Coretti,Helicobacter,42,0,0,41,0.001,0
Coretti,Holdemania,42,0.022,0.053,41,0.005,0.007
Coretti,Janthinobacterium,42,0,0,41,0,0
Coretti,Jeotgalicoccus,42,0,0,41,0.000333333,0.002302349
Coretti,Klebsiella,42,0.002,0.00781425,41,0.01,0.064670271
Coretti,Kocuria,42,0,0,41,0,0
Coretti,Kurthia,42,0,0,41,0.001,0.004
Coretti,Lachnobacterium,42,0.002,0.004795832,41,0,0
Coretti,Lachnospira,42,0.01378125,0.081078172,41,0.00284375,0.019013481
Coretti,Lactobacillus,42,0.000333333,0.001726149,41,0.006777778,0.06187515
Coretti,Lactococcus,42,0.001,0.010166224,41,0.016923077,0.126524143
Coretti,Leptotrichia,42,0,0,41,0,0
Coretti,Leuconostoc,42,0,0,41,0.0004,0.001804985
Coretti,Megamonas,42,0.0085,0.035469303,41,0,0
Coretti,Megasphaera,42,0.04275,0.188064947,41,0,0
Coretti,Mitsuokella,42,0.0005,0.002132515,41,0,0
Coretti,Mogibacterium,42,0,0,41,0,0
Coretti,Moryella,42,0,0,41,0,0
Coretti,Neisseria,42,0.000333333,0.001744037,41,0,0
Coretti,Novosphingobium,42,0,0,41,0,0
Coretti,Ochrobactrum,42,0,0,41,0,0
Coretti,Odoribacter,42,0.008333333,0.035612205,41,0.006333333,0.032810369
Coretti,Oribacterium,42,0,0,41,0.002,0.004
Coretti,Oscillospira,42,0.02295122,0.162415773,41,0.004609756,0.028820479
Coretti,Oxalobacter,42,0,0,41,0.002,0.007
Coretti,Paludibacter,42,0,0,41,0,0
Coretti,Parabacteroides,42,0.054,0.283331524,41,0.005647059,0.044412781
Coretti,Paracoccus,42,0,0,41,0,0
Coretti,Paraprevotella,42,0.000333333,0.001744037,41,0.000333333,0.002302349
Coretti,Parvimonas,42,0,0,41,0.000666667,0.002302349
Coretti,Pedobacter,42,0,0,41,0.0005,0.002821872
Coretti,Peptococcus,42,0,0,41,0,0
Coretti,Peptoniphilus,42,0,0,41,0.000333333,0.000477119
Coretti,Phascolarctobacterium,42,0.091,0.226,41,0,0
Coretti,Phyllobacterium,42,0,0,41,0.001,0.004
Coretti,Porphyromonas,42,0,0,41,0,0
Coretti,Prevotella,42,0.0928,0.915992242,41,0.01075,0.122016861
Coretti,Propionibacterium,42,0,0,41,0.0005,0.002821872
Coretti,Pseudomonas,42,5.88235E-05,0.000734528,41,0.001117647,0.005835186
Coretti,Pseudoramibacter_Eubacterium,42,0.001,0.004937707,41,0,0
Coretti,Rhizobium,42,0,0,41,0,0
Coretti,Roseburia,42,0.010688172,0.059982251,41,0.016870968,0.251449416
Coretti,Rothia,42,0.000222222,0.002323595,41,0.002,0.011606895
Coretti,Ruminococcus,42,0.064408451,0.844824771,41,0.062450704,0.741925952
Coretti,SMB53,42,0.006,0.025692242,41,0.0124,0.105533195
Coretti,Salmonella,42,0.143,0.471,41,0,0
Coretti,Sarcina,42,0,0,41,0.001333333,0.008659315
Coretti,Scardovia,42,0,0,41,0.001,0.004
Coretti,Selenomonas,42,0,0,41,0,0
Coretti,Serratia,42,0,0,41,0,0
Coretti,Shewanella,42,0,0,41,0.0005,0.002821872
Coretti,Slackia,42,0.0065,0.025717791,41,0.0115,0.060812706
Coretti,Sphingomonas,42,0.0002,0.001352638,41,0.0004,0.003143431
Coretti,Staphylococcus,42,0,0,41,0.00025,0.00199317
Coretti,Stenotrophomonas,42,0,0,41,0.001,0.004
Coretti,Streptococcus,42,0.00612,0.089357789,41,0.017253333,0.091684041
Coretti,Sutterella,42,0.031733333,0.226594758,41,0.0038,0.021221728
Coretti,Trabulsiella,42,0,0,41,0,0
